piRs	consolidated_id
piR-hsa-738045,piR-hsa-765562	piR-hsa-concat-003401
piR-hsa-115070,piR-hsa-2839703	piR-hsa-concat-003402
piR-hsa-148117,piR-hsa-163758,piR-hsa-343472,piR-hsa-71263,piR-hsa-758888	piR-hsa-concat-003403
piR-hsa-58002,piR-hsa-739395	piR-hsa-concat-003404
piR-hsa-125110,piR-hsa-157340,piR-hsa-169205,piR-hsa-766491	piR-hsa-concat-003405
piR-hsa-165885,piR-hsa-748308	piR-hsa-concat-003406
piR-hsa-753399,piR-hsa-760204	piR-hsa-concat-003407
piR-hsa-747140,piR-hsa-809441	piR-hsa-concat-003408
piR-hsa-2868969,piR-hsa-3651488	piR-hsa-concat-003277
piR-hsa-133895,piR-hsa-164084	piR-hsa-concat-003240
piR-hsa-131175,piR-hsa-145240,piR-hsa-363736	piR-hsa-concat-003241
piR-hsa-1234009,piR-hsa-1303127,piR-hsa-142007,piR-hsa-149619,piR-hsa-2829083,piR-hsa-723374,piR-hsa-728900	piR-hsa-concat-003242
piR-hsa-133862,piR-hsa-134050,piR-hsa-138454,piR-hsa-138496,piR-hsa-142453,piR-hsa-151027,piR-hsa-156656,piR-hsa-337314,piR-hsa-342199,piR-hsa-364533,piR-hsa-723667,piR-hsa-728241,piR-hsa-733244,piR-hsa-737253,piR-hsa-769412,piR-hsa-788506	piR-hsa-concat-003243
piR-hsa-756272,piR-hsa-776416	piR-hsa-concat-003244
piR-hsa-172226,piR-hsa-747622,piR-hsa-749283,piR-hsa-751921	piR-hsa-concat-003245
piR-hsa-1237765,piR-hsa-188587,piR-hsa-336137,piR-hsa-721457,piR-hsa-754517,piR-hsa-779665,piR-hsa-798353	piR-hsa-concat-001875
piR-hsa-148906,piR-hsa-152813,piR-hsa-161538	piR-hsa-concat-001057
piR-hsa-153822,piR-hsa-165378,piR-hsa-166382	piR-hsa-concat-000018
piR-hsa-137391,piR-hsa-156709	piR-hsa-concat-000019
piR-hsa-142076,piR-hsa-151989	piR-hsa-concat-000020
piR-hsa-145293,piR-hsa-147160,piR-hsa-780814	piR-hsa-concat-000021
piR-hsa-134172,piR-hsa-169440	piR-hsa-concat-000022
piR-hsa-132941,piR-hsa-143076,piR-hsa-156105,piR-hsa-165469,piR-hsa-335641	piR-hsa-concat-000023
piR-hsa-149883,piR-hsa-158426,piR-hsa-164846	piR-hsa-concat-000024
piR-hsa-137016,piR-hsa-748724	piR-hsa-concat-000025
piR-hsa-131374,piR-hsa-149394,piR-hsa-151192,piR-hsa-170117	piR-hsa-concat-000026
piR-hsa-132990,piR-hsa-170050	piR-hsa-concat-000027
piR-hsa-3467592,piR-hsa-7715104	piR-hsa-concat-002218
piR-hsa-67022,piR-hsa-779524	piR-hsa-concat-000038
piR-hsa-149619,piR-hsa-235729,piR-hsa-2827902	piR-hsa-concat-000043
piR-hsa-737391,piR-hsa-746170,piR-hsa-749198	piR-hsa-concat-000044
piR-hsa-1302039,piR-hsa-729595	piR-hsa-concat-000045
piR-hsa-4046807,piR-hsa-7930613	piR-hsa-concat-002193
piR-hsa-155916,piR-hsa-720022,piR-hsa-771203	piR-hsa-concat-002697
piR-hsa-2845158,piR-hsa-772159	piR-hsa-concat-003206
piR-hsa-361667,piR-hsa-726557	piR-hsa-concat-000049
piR-hsa-164989,piR-hsa-748608	piR-hsa-concat-000050
piR-hsa-771146,piR-hsa-779939	piR-hsa-concat-000051
piR-hsa-339441,piR-hsa-748156	piR-hsa-concat-000052
piR-hsa-368460,piR-hsa-378998	piR-hsa-concat-000053
piR-hsa-358998,piR-hsa-784691	piR-hsa-concat-000054
piR-hsa-139070,piR-hsa-348921	piR-hsa-concat-000055
piR-hsa-339751,piR-hsa-742451	piR-hsa-concat-000056
piR-hsa-351764,piR-hsa-785487	piR-hsa-concat-000057
piR-hsa-372069,piR-hsa-764914	piR-hsa-concat-000058
piR-hsa-344597,piR-hsa-733855	piR-hsa-concat-000059
piR-hsa-142348,piR-hsa-759155	piR-hsa-concat-000060
piR-hsa-148549,piR-hsa-159069	piR-hsa-concat-000061
piR-hsa-141194,piR-hsa-150464	piR-hsa-concat-000062
piR-hsa-138961,piR-hsa-166426,piR-hsa-722573,piR-hsa-90490	piR-hsa-concat-000063
piR-hsa-602014,piR-hsa-758802	piR-hsa-concat-003760
piR-hsa-2856477,piR-hsa-746079	piR-hsa-concat-003143
piR-hsa-7739287,piR-hsa-956820	piR-hsa-concat-003248
piR-hsa-3254375,piR-hsa-3639629	piR-hsa-concat-003764
piR-hsa-137513,piR-hsa-151178,piR-hsa-159327	piR-hsa-concat-003232
piR-hsa-147204,piR-hsa-157195,piR-hsa-169248,piR-hsa-347855,piR-hsa-348179	piR-hsa-concat-003231
piR-hsa-130615,piR-hsa-135539,piR-hsa-138241,piR-hsa-140222,piR-hsa-149842,piR-hsa-151198,piR-hsa-153248,piR-hsa-158912,piR-hsa-161971,piR-hsa-168133,piR-hsa-360281,piR-hsa-378716,piR-hsa-787175	piR-hsa-concat-003230
piR-hsa-132711,piR-hsa-137342,piR-hsa-140779,piR-hsa-143377,piR-hsa-150443,piR-hsa-150480,piR-hsa-151482,piR-hsa-154073,piR-hsa-155869,piR-hsa-156787,piR-hsa-161246,piR-hsa-162031,piR-hsa-162646,piR-hsa-165780,piR-hsa-378893	piR-hsa-concat-003229
piR-hsa-372949,piR-hsa-739014	piR-hsa-concat-003228
piR-hsa-145788,piR-hsa-146872,piR-hsa-147341,piR-hsa-156326,piR-hsa-343088,piR-hsa-353282,piR-hsa-356734,piR-hsa-743332	piR-hsa-concat-003227
piR-hsa-133893,piR-hsa-136566,piR-hsa-137838,piR-hsa-143412,piR-hsa-148624,piR-hsa-150206,piR-hsa-156380,piR-hsa-157014,piR-hsa-158633,piR-hsa-159921,piR-hsa-168393,piR-hsa-728853,piR-hsa-778934	piR-hsa-concat-003226
piR-hsa-344776,piR-hsa-374041	piR-hsa-concat-003225
piR-hsa-1894707,piR-hsa-974564	piR-hsa-concat-003224
piR-hsa-151450,piR-hsa-696324	piR-hsa-concat-003223
piR-hsa-102226,piR-hsa-137773	piR-hsa-concat-003222
piR-hsa-143488,piR-hsa-341569	piR-hsa-concat-000079
piR-hsa-165569,piR-hsa-167783	piR-hsa-concat-000080
piR-hsa-2604126,piR-hsa-764966	piR-hsa-concat-003234
piR-hsa-359326,piR-hsa-753745	piR-hsa-concat-002033
piR-hsa-371144,piR-hsa-781106	piR-hsa-concat-000099
piR-hsa-3322354,piR-hsa-3696053	piR-hsa-concat-000109
piR-hsa-132825,piR-hsa-769396	piR-hsa-concat-002075
piR-hsa-135441,piR-hsa-139172	piR-hsa-concat-000422
piR-hsa-134485,piR-hsa-64582	piR-hsa-concat-000112
piR-hsa-133758,piR-hsa-135661,piR-hsa-141041,piR-hsa-141379,piR-hsa-141656,piR-hsa-146333,piR-hsa-147868,piR-hsa-149621,piR-hsa-156006,piR-hsa-158950,piR-hsa-739724,piR-hsa-751858,piR-hsa-765068	piR-hsa-concat-001945
piR-hsa-132067,piR-hsa-141231,piR-hsa-141444,piR-hsa-143362,piR-hsa-144557,piR-hsa-145129,piR-hsa-146848,piR-hsa-146893,piR-hsa-151753,piR-hsa-152243,piR-hsa-153443,piR-hsa-155860,piR-hsa-158531,piR-hsa-167424,piR-hsa-168910,piR-hsa-169999,piR-hsa-171581,piR-hsa-171590,piR-hsa-354727,piR-hsa-356046,piR-hsa-731740,piR-hsa-746508	piR-hsa-concat-001946
piR-hsa-157625,piR-hsa-162258,piR-hsa-166933	piR-hsa-concat-001947
piR-hsa-138056,piR-hsa-150896,piR-hsa-157810,piR-hsa-725738,piR-hsa-742158,piR-hsa-765255	piR-hsa-concat-001948
piR-hsa-130576,piR-hsa-146194,piR-hsa-158595,piR-hsa-161610	piR-hsa-concat-001949
piR-hsa-133388,piR-hsa-150856,piR-hsa-160467	piR-hsa-concat-001950
piR-hsa-141621,piR-hsa-736405	piR-hsa-concat-001951
piR-hsa-130959,piR-hsa-156569,piR-hsa-761946	piR-hsa-concat-001035
piR-hsa-141335,piR-hsa-167980,piR-hsa-350687,piR-hsa-744048,piR-hsa-744604,piR-hsa-747092,piR-hsa-751417,piR-hsa-757795,piR-hsa-776822	piR-hsa-concat-001034
piR-hsa-138406,piR-hsa-146985,piR-hsa-351350,piR-hsa-758380	piR-hsa-concat-001033
piR-hsa-132182,piR-hsa-749608,piR-hsa-764233	piR-hsa-concat-000187
piR-hsa-143203,piR-hsa-165531,piR-hsa-2833285	piR-hsa-concat-001031
piR-hsa-140384,piR-hsa-142030,piR-hsa-144578,piR-hsa-145564	piR-hsa-concat-000125
piR-hsa-735115,piR-hsa-760243	piR-hsa-concat-000126
piR-hsa-135420,piR-hsa-135494,piR-hsa-157896	piR-hsa-concat-000127
piR-hsa-149308,piR-hsa-154482,piR-hsa-166845	piR-hsa-concat-000128
piR-hsa-155743,piR-hsa-356089	piR-hsa-concat-000129
piR-hsa-132973,piR-hsa-167327,piR-hsa-750362	piR-hsa-concat-000132
piR-hsa-157888,piR-hsa-757726	piR-hsa-concat-000133
piR-hsa-772294,piR-hsa-784616	piR-hsa-concat-000134
piR-hsa-136369,piR-hsa-159594	piR-hsa-concat-000148
piR-hsa-139409,piR-hsa-148860,piR-hsa-171450,piR-hsa-172029,piR-hsa-173817,piR-hsa-374758	piR-hsa-concat-000149
piR-hsa-136638,piR-hsa-145587,piR-hsa-157839,piR-hsa-374394	piR-hsa-concat-000150
piR-hsa-165808,piR-hsa-335544	piR-hsa-concat-000151
piR-hsa-151222,piR-hsa-349852	piR-hsa-concat-000154
piR-hsa-143203,piR-hsa-159727,piR-hsa-165531,piR-hsa-2833285	piR-hsa-concat-000167
piR-hsa-131255,piR-hsa-153768	piR-hsa-concat-000168
